ZORTÉA,2.17,3.93
CELSO RAMOS,2.42,3.43
ANITA GARIBALDI,3.17,3.25
CAMPOS NOVOS,2.67,3.94
ABDON BATISTA,3.17,3.74
VARGEM,3.42,4
BRUNÓPOLIS,3.8,4.24
MONTE CARLOS,3.5,4.99
FREI ROGÉRIO,3.95,4.83
CURITIBANOS,4.35,4.4
SANTA CECÍLIA,4.8,5.4
PONTE ALTA DO NORTE,4.77,4.83
SÃO CRISTÓVÃO DO SUL,5.05,4.38
PONTE ALTA,5.04,4.12
CORREIA PINTO,4.93,3.5
SÃO JOSÉ DO CERRITO,4.2,3.6
CERRO NEGRO,3.5,2.9
CAMPO BELO DO SUL,4,3
CAPÃO ALTO,4.36,2.14
LAGES,5.12,2.71
PALMEIRA,5.5,3.5
BOCAINA DO SUL,6.18,2.98
PAINEL,5.67,2.45
URUPEMA,6.07,2.18
SÃO JOAQUIM,5.9,1.3
BOM JARDIM DA SERRA,6.7,1.08
URUBICI,6.8,2.0
RIO RUFINO,6.5,2.5
BOM RETIRO,6.96,2.92
OTACÍLIA COSTA,6,3.8
